,VSI_Motor_Speed_RR,VSI_Motor_Speed_RL,VSI_Motor_Speed_FR,VSI_Motor_Speed_FL,VSI_TrqFeedback_RR,VSI_TrqFeedback_RL,VSI_TrqFeedback_FR,VSI_TrqFeedback_FL,MISC_Pos_Trq_Limit_RR,MISC_Pos_Trq_Limit_RL,MISC_Pos_Trq_Limit_FR,MISC_Pos_Trq_Limit_FL,MISC_Neg_Trq_Limit_RR,MISC_Neg_Trq_Limit_RL,MISC_Neg_Trq_Limit_FR,MISC_Neg_Trq_Limit_FL
139.62,9415.0,8093.0,7173.0,8308.0,10.9956,10.9956,10.86624,11.12496,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.63,9388.0,8208.0,7144.0,8316.0,10.9956,11.6424,10.86624,11.38368,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.64,9421.0,8085.0,7168.0,8371.0,10.47816,10.47816,10.9956,11.25432,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.65,9411.0,8186.0,7168.0,8261.0,11.12496,11.38368,10.9956,10.47816,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.66,9414.0,8126.0,7151.0,8395.0,11.25432,10.60752,11.12496,10.86624,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.67,9364.0,8164.0,7152.0,8244.0,11.38368,10.9956,10.9956,10.73688,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.68,9412.0,8143.0,7159.0,8403.0,10.73688,10.86624,10.86624,11.51304,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.69,9407.0,8143.0,7132.0,8239.0,10.86624,10.73688,10.86624,10.86624,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.7,9416.0,8183.0,7161.0,8419.0,10.86624,11.38368,10.9956,11.51304,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.71,9401.0,8092.0,7147.0,8252.0,11.12496,10.73688,10.73688,10.47816,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.72,9445.0,8215.0,7159.0,8374.0,11.77176,11.38368,10.86624,11.38368,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.73,9391.0,8096.0,7159.0,8326.0,10.47816,10.86624,10.9956,10.9956,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.74,9438.0,8199.0,7165.0,8317.0,11.12496,10.86624,11.12496,11.12496,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.75,9390.0,8125.0,7154.0,8398.0,11.12496,10.73688,10.86624,11.12496,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.76,9413.0,8175.0,7163.0,8257.0,10.21944,11.25432,10.9956,10.21944,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.77,9392.0,8162.0,7167.0,8441.0,11.25432,11.12496,11.25432,11.25432,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.78,9435.0,8158.0,7157.0,8202.0,10.9956,10.9956,11.25432,10.09008,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.79,9410.0,8185.0,7178.0,8469.0,11.38368,10.73688,11.12496,11.51304,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.8,9433.0,8124.0,7156.0,8246.0,10.9956,11.12496,11.25432,10.9956,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.81,9407.0,8211.0,7153.0,8390.0,10.86624,11.25432,10.86624,11.6424,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.82,9448.0,8084.0,7169.0,8302.0,11.38368,10.73688,11.12496,10.9956,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.83,9407.0,8227.0,7154.0,8350.0,10.86624,11.51304,10.73688,10.60752,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.84,9397.0,8115.0,7164.0,8350.0,10.86624,10.47816,10.9956,10.73688,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.85,9409.0,8186.0,7166.0,8316.0,11.25432,11.38368,10.73688,10.86624,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.86,9435.0,8158.0,7153.0,8401.0,10.60752,11.12496,10.73688,10.86624,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
